symbol,side,entry_time,exit_time,entry,exit,qty,notional,reason,gross_ret,net_ret,pnl_usdt,equity_after
ETH/USDT:USDT,short,2023-01-16 08:00:00+00:00,2023-01-16 10:00:00+00:00,1539.3420700000001,1550.6453335347555,4.4235012168175585,6809.28151974346,sl,-0.007342918611167034,-0.008842918611167034,-60.21392227961519,9936.040972884526
ETH/USDT:USDT,short,2023-01-16 15:00:00+00:00,2023-01-16 15:15:00+00:00,1523.7951799999998,1533.1062791770967,5.335589699938391,8130.345867223767,sl,-0.006110466353553384,-0.007610466353553384,-61.875723665258285,9869.693558992294
ETH/USDT:USDT,long,2023-01-16 16:00:00+00:00,2023-01-16 18:45:00+00:00,1557.1113599999999,1574.4519471991262,4.378209273581067,6817.359396350427,tp,0.011136382178296019,0.00963638217829602,65.69468059003016,9931.638691914332
ETH/USDT:USDT,long,2023-01-16 20:45:00+00:00,2023-01-16 21:15:00+00:00,1587.16737,1573.7734639664088,3.7075214157118963,5884.457014594127,sl,-0.008438874366218268,-0.009938874366218268,-58.48487898146284,9869.917361574842
ETH/USDT:USDT,long,2023-01-16 23:15:00+00:00,2023-01-17 00:00:00+00:00,1582.4164199999998,1571.5763028667293,4.552495715789862,7203.943972645529,sl,-0.006850356831655285,-0.008350356831655284,-60.1555027668425,9805.799689623045
ETH/USDT:USDT,short,2023-01-17 02:00:00+00:00,2023-01-17 04:15:00+00:00,1554.1891,1566.5290819764932,3.973182338638109,6175.076683023858,sl,-0.00793982017792633,-0.00943982017792633,-58.29161347265101,9744.111783974731
ETH/USDT:USDT,long,2023-01-17 18:00:00+00:00,2023-01-17 18:30:00+00:00,1576.055148,1592.9733580378788,4.430415857396063,6982.579719829898,tp,0.010734529219582175,0.009234529219582175,64.4808364508311,9800.501956739276
ETH/USDT:USDT,long,2023-01-17 20:30:00+00:00,2023-01-17 22:30:00+00:00,1584.206778,1574.035682312206,4.8178201530935425,7632.4233417157875,sl,-0.006420308149820277,-0.007920308149820277,-60.451144796270064,9735.85297910506
BTC/USDT:USDT,long,2023-01-17 18:15:00+00:00,2023-01-17 23:30:00+00:00,21265.2522,21131.235061964362,0.3633964845055399,7727.717891603698,sl,-0.006302165465765644,-0.007802165465765645,-60.29293366304967,9670.925668534013
BTC/USDT:USDT,short,2023-01-17 23:30:00+00:00,2023-01-18 01:00:00+00:00,21142.7706,21246.90548080068,0.4643461246690557,9817.563592876846,sl,-0.004925318576775389,-0.006425318576775389,-63.08097373198533,9602.445034825945
ETH/USDT:USDT,short,2023-01-17 22:30:00+00:00,2023-01-18 02:30:00+00:00,1574.1751020000002,1583.269383403283,5.352733518665174,8426.13983272357,sl,-0.0057771726866525045,-0.007277172686652504,-61.31847464461066,9541.126560181334
ETH/USDT:USDT,long,2023-01-18 02:30:00+00:00,2023-01-18 08:15:00+00:00,1582.076352,1572.6221326200791,5.043000101922187,7978.411204384683,sl,-0.00597583003372072,-0.00747583003372072,-59.64524610311291,9471.492487041653
BTC/USDT:USDT,long,2023-01-18 02:30:00+00:00,2023-01-18 09:00:00+00:00,21293.7579,21194.00115169569,0.47821960530810337,10183.092498464308,sl,-0.004684788320257433,-0.0061847883202574335,-62.98027154860314,9408.512215493049
