ts,Exit Time,Symbol,Side,Closed PnL,exec_fee,avgEntryPrice,avgExitPrice,qty,orderId,orderLinkId
1770694448350,2026-02-10 03:34:08,XRPUSDT,Buy,-0.06909031,,1.4326,1.4335,27.9,d326a48b-fd25-46f8-87df-dcd98461ea24,
1770694593746,2026-02-10 03:36:33,BNBUSDT,Buy,0.17085012,,635.1,632.2,0.07,c73db530-22d4-47c3-ba23-8b2c74743ba1,
1770695663738,2026-02-10 03:54:23,SOLUSDT,Buy,-0.107146,,85.66,85.78,0.5,8b6e385e-6810-431f-94d5-c7684c9ec1b7,
1770696042585,2026-02-10 04:00:42,ETHUSDT,Buy,-0.1274069,,2061.9,2066,0.02,0c3887c3-c287-4bf7-8f7b-edf3de5c9f9d,
1770696044420,2026-02-10 04:00:44,LINKUSDT,Buy,-0.13993301,,8.674,8.689,5.7,a8f8efd9-ba57-41d6-ab32-2768f6f5852c,
1770701786606,2026-02-10 05:36:26,BTCUSDT,Buy,-0.11399229,,69544.4,69606.2,0.001,a8e1120d-f76d-4e01-ba79-d84ed1f4a23c,
1770703387194,2026-02-10 06:03:07,AVAXUSDT,Buy,0.01301832,,8.907,8.898,5.6,a6584e5c-b486-47e4-acd0-605ffcf46960,
1770706578447,2026-02-10 06:56:18,ETHUSDT,Buy,0.926745,,2052.09,2004.24,0.02,9f47e515-0c65-40d9-9c87-deeb8d8862fe,
1770706638440,2026-02-10 06:57:18,BTCUSDT,Buy,0.35454104,,69309.9,68903.6,0.001,ef6050f4-b57c-4f53-9f97-662e7ed5d7be,
1770706875703,2026-02-10 07:01:15,BNBUSDT,Buy,0.18236295,,633.3,630,0.07,5a60183e-6952-49eb-b0c6-c320dd685bf9,
1770707067949,2026-02-10 07:04:27,DOGEUSDT,Buy,0.44507714,,0.09488,0.09393,526,7f044e74-ec8f-4462-b9b1-9b504aecdb5d,
1770708108310,2026-02-10 07:21:48,LINKUSDT,Buy,-0.15300545,,8.519,8.536,5.8,0e7a2536-6779-42c4-b166-d3effabb3982,
1770708109841,2026-02-10 07:21:49,SOLUSDT,Buy,-0.05159875,,84.72,84.73,0.5,d66e47bf-ee33-4012-b73f-af27dca0feae,
1770708964694,2026-02-10 07:36:04,ADAUSDT,Buy,-0.0548834,,0.2626,0.2626,190,c14bd7c0-0be6-4002-b878-fa7c8834b111,
1770710814489,2026-02-10 08:06:54,ETHUSDT,Buy,0.04590464,,2011.55,2007.78,0.02,b9baccbf-61ba-4ace-8105-3b0fcb8bd98f,
1770711745469,2026-02-10 08:22:25,XRPUSDT,Buy,0.17719076,,1.4254,1.4188,35,c3c436fb-9e3d-4198-93e8-9cdb9423219f,
1770711768432,2026-02-10 08:22:48,BTCUSDT,Buy,-0.01607518,,68960.7,68922.1,0.001,ec67fab8-dfb6-4dba-8974-957276f4ec24,
1770712787613,2026-02-10 08:39:47,SOLUSDT,Buy,-0.086684,,84.41,84.52,0.5,5cbf0617-fbb2-435c-8f7e-0b628c7ae026,
1770712889868,2026-02-10 08:41:29,BNBUSDT,Buy,-0.06117965,,631.7,632.1,0.07,cf36c01f-a932-4f1e-a0c9-663a0a78e88c,
1770717710646,2026-02-10 10:01:50,BNBUSDT,Buy,-0.1044715,,629.1,629.9,0.07,6f0fae8c-629d-4713-8f32-02f996ec1dca,
1770723000648,2026-02-10 11:30:00,SOLUSDT,Buy,-0.111619,,84.2,84.36,0.5,b8f7c785-4ba9-4257-a56d-500e7a0fef1c,
1770723222521,2026-02-10 11:33:42,BTCUSDT,Buy,-0.16314467,,68911.2,69022.6,0.001,35ee1bf7-6d6e-4913-a4a2-019a493d6f80,
1770724863599,2026-02-10 12:01:03,ETHUSDT,Buy,0.0220823,,2009.76,2007.15,0.02,8422e48f-208e-4b8a-a264-58f1a32cfcb8,
1770724888108,2026-02-10 12:01:28,AVAXUSDT,Buy,-0.12541911,,8.79,8.803,5.6,985a27fe-6e5b-459d-a8fa-09f89c8c336e,
1770724936474,2026-02-10 12:02:16,BTCUSDT,Buy,-0.09299953,,68635.6,68677.1,0.001,b204011e-6823-4c89-94ab-73825bb2a3a6,
1770729491546,2026-02-10 13:18:11,BTCUSDT,Buy,-0.15363481,,68504.8,68607,0.001,d4593c54-17db-46c4-a4b1-0fed23d4e21c,
1770729532864,2026-02-10 13:18:52,ADAUSDT,Buy,-0.14804245,,0.2623,0.2628,190,5c1a5ec3-cc22-4ce4-a623-a817ad3a7761,
1770733000749,2026-02-10 14:16:40,BNBUSDT,Buy,-0.0214912,,625,624.8,0.08,ea2e116c-aa18-43a9-b76d-04d3609a271f,
1770733046679,2026-02-10 14:17:26,ETHUSDT,Buy,-0.63160191,,2004.75,2034.81,0.02,e6fea394-6932-49b8-9907-2e7b28991b51,
1770733116768,2026-02-10 14:18:36,SOLUSDT,Buy,-0.6867965,,83.83,85.14,0.5,f45789ed-bedb-4de0-8a82-39227f753710,
