datetime,ts,open,high,low,close,volume
2025-01-13 17:00:00+00:00,1736787600000,91302.1,92263.7,91200.0,91944.0,6499.829
2025-01-13 18:00:00+00:00,1736791200000,91944.0,92388.0,91564.1,92037.6,6512.493
2025-01-13 19:00:00+00:00,1736794800000,92037.6,92500.0,91548.0,92260.7,7450.425
2025-01-13 20:00:00+00:00,1736798400000,92260.7,93800.0,91839.2,93545.1,9132.764
2025-01-13 21:00:00+00:00,1736802000000,93545.1,94442.8,93349.6,94172.8,7947.464
2025-01-13 22:00:00+00:00,1736805600000,94172.8,94700.0,94118.3,94370.4,4165.619
2025-01-13 23:00:00+00:00,1736809200000,94370.4,94601.5,94152.5,94508.2,2724.035
2025-01-14 00:00:00+00:00,1736812800000,94508.2,94857.0,94330.3,94462.5,3946.468
2025-01-14 01:00:00+00:00,1736816400000,94462.5,95050.0,94448.2,94814.4,3655.397
2025-01-14 02:00:00+00:00,1736820000000,94814.4,95285.1,94706.6,94877.7,3137.823
2025-01-14 03:00:00+00:00,1736823600000,94877.7,95101.3,94765.8,94849.3,1675.552
2025-01-14 04:00:00+00:00,1736827200000,94849.3,95137.4,94800.0,95104.5,1701.479
2025-01-14 05:00:00+00:00,1736830800000,95104.5,95484.3,94850.0,94911.3,2740.497
2025-01-14 06:00:00+00:00,1736834400000,94911.3,95014.2,94714.4,95014.1,1889.726
2025-01-14 07:00:00+00:00,1736838000000,95014.1,95149.9,94817.7,94838.4,1712.564
2025-01-14 08:00:00+00:00,1736841600000,94838.4,95811.0,94838.4,95471.5,5244.988
2025-01-14 09:00:00+00:00,1736845200000,95471.5,97395.5,95436.3,97150.0,12964.889
2025-01-14 10:00:00+00:00,1736848800000,97150.0,97181.8,96552.3,96655.5,6198.611
2025-01-14 11:00:00+00:00,1736852400000,96655.5,96694.0,96311.0,96526.2,3796.259
2025-01-14 12:00:00+00:00,1736856000000,96526.2,96696.6,95970.0,95970.0,3897.421
2025-01-14 13:00:00+00:00,1736859600000,95970.0,97247.9,95712.1,96303.9,12172.958
2025-01-14 14:00:00+00:00,1736863200000,96303.9,97220.0,95960.5,96257.8,9193.234
2025-01-14 15:00:00+00:00,1736866800000,96257.8,96950.9,96150.1,96415.4,5344.88
2025-01-14 16:00:00+00:00,1736870400000,96415.4,96415.5,95308.8,95709.1,8929.938
2025-01-14 17:00:00+00:00,1736874000000,95709.1,96571.9,95537.8,96492.5,5077.999
2025-01-14 18:00:00+00:00,1736877600000,96492.5,96942.5,96240.9,96733.2,3340.236
2025-01-14 19:00:00+00:00,1736881200000,96733.2,97064.0,96440.1,96518.1,2977.237
2025-01-14 20:00:00+00:00,1736884800000,96518.1,96899.5,96100.0,96461.9,4055.038
2025-01-14 21:00:00+00:00,1736888400000,96461.9,96642.8,96269.9,96439.1,1690.615
2025-01-14 22:00:00+00:00,1736892000000,96439.1,96700.0,96396.4,96640.2,767.049
