datetime,ts,open,high,low,close,volume
2025-01-13 16:30:00+00:00,1736785800000,177.86,178.62,177.72,178.11,67041.3
2025-01-13 16:45:00+00:00,1736786700000,178.11,178.54,176.08,176.2,132951.3
2025-01-13 17:00:00+00:00,1736787600000,176.2,177.67,175.62,176.82,123938.2
2025-01-13 17:15:00+00:00,1736788500000,176.82,177.95,176.79,177.62,68950.4
2025-01-13 17:30:00+00:00,1736789400000,177.62,178.38,175.93,176.11,69975.8
2025-01-13 17:45:00+00:00,1736790300000,176.11,176.87,175.44,176.28,89886.1
2025-01-13 18:00:00+00:00,1736791200000,176.28,177.91,176.14,176.22,101634.8
2025-01-13 18:15:00+00:00,1736792100000,176.22,176.3,174.36,174.45,151215.8
2025-01-13 18:30:00+00:00,1736793000000,174.45,176.47,174.45,175.17,104565.0
2025-01-13 18:45:00+00:00,1736793900000,175.17,176.45,174.7,175.93,72932.4
2025-01-13 19:00:00+00:00,1736794800000,175.93,177.42,175.58,176.45,120158.3
2025-01-13 19:15:00+00:00,1736795700000,176.45,176.96,175.03,176.94,85352.2
2025-01-13 19:30:00+00:00,1736796600000,176.94,178.22,176.35,178.02,88906.7
2025-01-13 19:45:00+00:00,1736797500000,178.02,178.62,176.84,177.53,92265.6
2025-01-13 20:00:00+00:00,1736798400000,177.53,177.89,176.53,176.84,58675.8
2025-01-13 20:15:00+00:00,1736799300000,176.84,178.12,176.59,177.62,49713.9
2025-01-13 20:30:00+00:00,1736800200000,177.62,180.09,177.59,180.07,94341.8
2025-01-13 20:45:00+00:00,1736801100000,180.07,182.39,180.01,181.5,237057.5
2025-01-13 21:00:00+00:00,1736802000000,181.5,182.07,180.83,181.46,142545.9
2025-01-13 21:15:00+00:00,1736802900000,181.46,182.04,180.91,181.66,94627.0
2025-01-13 21:30:00+00:00,1736803800000,181.66,181.97,180.2,181.9,142701.5
2025-01-13 21:45:00+00:00,1736804700000,181.9,181.9,181.18,181.78,51637.6
2025-01-13 22:00:00+00:00,1736805600000,181.78,183.1,181.61,182.98,91450.1
2025-01-13 22:15:00+00:00,1736806500000,182.98,183.39,182.49,182.94,63482.6
2025-01-13 22:30:00+00:00,1736807400000,182.94,182.94,181.5,182.39,80872.2
2025-01-13 22:45:00+00:00,1736808300000,182.39,183.03,182.35,183.0,27806.2
2025-01-13 23:00:00+00:00,1736809200000,183.0,183.36,182.68,183.29,30242.5
2025-01-13 23:15:00+00:00,1736810100000,183.29,183.76,182.8,183.14,32820.5
2025-01-13 23:30:00+00:00,1736811000000,183.14,183.5,183.02,183.17,15708.8
2025-01-13 23:45:00+00:00,1736811900000,183.17,183.19,182.55,182.75,31270.7
2025-01-14 00:00:00+00:00,1736812800000,182.75,182.84,181.77,181.87,62884.6
2025-01-14 00:15:00+00:00,1736813700000,181.87,182.95,181.82,182.43,53258.6
2025-01-14 00:30:00+00:00,1736814600000,182.43,182.8,182.04,182.2,41952.1
2025-01-14 00:45:00+00:00,1736815500000,182.2,182.42,181.8,182.3,25322.2
2025-01-14 01:00:00+00:00,1736816400000,182.3,184.06,182.27,183.98,69839.4
2025-01-14 01:15:00+00:00,1736817300000,183.98,184.1,182.5,183.06,92271.7
2025-01-14 01:30:00+00:00,1736818200000,183.06,183.25,182.51,182.7,27892.7
2025-01-14 01:45:00+00:00,1736819100000,182.7,183.02,182.29,182.54,31366.9
2025-01-14 02:00:00+00:00,1736820000000,182.54,182.95,181.95,182.92,99738.3
2025-01-14 02:15:00+00:00,1736820900000,182.92,184.06,182.8,183.74,55691.7
2025-01-14 02:30:00+00:00,1736821800000,183.74,183.85,182.97,183.52,31657.2
2025-01-14 02:45:00+00:00,1736822700000,183.52,183.71,182.9,183.3,24982.7
2025-01-14 03:00:00+00:00,1736823600000,183.3,184.18,183.23,184.07,29943.2
2025-01-14 03:15:00+00:00,1736824500000,184.07,184.54,183.69,184.47,36214.1
2025-01-14 03:30:00+00:00,1736825400000,184.47,184.55,183.76,184.42,34595.0
2025-01-14 03:45:00+00:00,1736826300000,184.42,184.52,184.06,184.1,14046.7
2025-01-14 04:00:00+00:00,1736827200000,184.1,184.78,184.1,184.78,36742.7
2025-01-14 04:15:00+00:00,1736828100000,184.78,185.0,184.61,184.89,36803.6
2025-01-14 04:30:00+00:00,1736829000000,184.89,185.17,184.44,184.95,36137.9
2025-01-14 04:45:00+00:00,1736829900000,184.95,185.9,184.86,185.77,46129.3
2025-01-14 05:00:00+00:00,1736830800000,185.77,186.59,185.63,186.42,70218.9
2025-01-14 05:15:00+00:00,1736831700000,186.42,186.42,185.47,185.64,80215.5
2025-01-14 05:30:00+00:00,1736832600000,185.64,185.79,185.15,185.18,34607.5
2025-01-14 05:45:00+00:00,1736833500000,185.18,185.25,184.68,185.13,41431.7
2025-01-14 06:00:00+00:00,1736834400000,185.13,185.59,185.13,185.43,44451.6
2025-01-14 06:15:00+00:00,1736835300000,185.43,186.3,185.42,185.99,38173.6
2025-01-14 06:30:00+00:00,1736836200000,185.99,186.85,185.93,186.27,56283.9
2025-01-14 06:45:00+00:00,1736837100000,186.27,186.31,185.82,186.24,30894.0
2025-01-14 07:00:00+00:00,1736838000000,186.24,186.33,185.66,185.81,31698.4
2025-01-14 07:15:00+00:00,1736838900000,185.81,185.97,185.51,185.97,29887.0
2025-01-14 07:30:00+00:00,1736839800000,185.97,186.09,185.29,185.53,27790.2
2025-01-14 07:45:00+00:00,1736840700000,185.53,185.72,185.27,185.51,23160.3
2025-01-14 08:00:00+00:00,1736841600000,185.51,187.04,185.5,186.85,58243.9
2025-01-14 08:15:00+00:00,1736842500000,186.85,187.18,186.05,186.49,56257.1
2025-01-14 08:30:00+00:00,1736843400000,186.49,187.13,186.36,186.96,45221.1
2025-01-14 08:45:00+00:00,1736844300000,186.96,187.45,186.74,186.78,55351.5
2025-01-14 09:00:00+00:00,1736845200000,186.78,187.15,186.38,187.1,53229.0
2025-01-14 09:15:00+00:00,1736846100000,187.1,188.81,186.77,188.55,125519.9
2025-01-14 09:30:00+00:00,1736847000000,188.55,189.8,188.18,189.74,137104.6
